Sr. No. ,Institute Code ,Institute Name 
229,6375,"Dr. D.Y. Patil Unitech Society's Dr. D.Y. Patil Institute of Pharmaceutical Science & Research, Pimpri, Pune"
230,6376,"All India Shri Shivaji Memorial Society's College of Pharmacy, Pune"
231,6377,"SVPM'S College of Pharmacy, Malegaon(BK) Baramati,  Pune"
232,6378,"Sinhgad Technical Education Society's Sinhgad Institute of Pharmaceutical Sciences , Lonavala"
233,6379,"Charak College of Pharmacy & Research, Wagholi, Pune"
234,6380,"Marathwada Mitra Mandal's College of Pharmacy,Thergaon( Kalewadi) ,Pune"
235,6381,"Abhinav Education Society,  College of Pharmacy, Haveli, Pune"
236,6382,"Rajamata Jijau Shiksan Prasark Mandal College of Pharmacy, Dudul Gaon, Pune"
237,6383,"Kasturi Shikshan Sansthas College of Pharmacy, Shikrapur"
238,6384,"Genba Education Trust, Genba Sopanrao Moze College of Pharmacy, Wagholi"
239,6385,"Poona District Education  Association, Shankarrao Ursal College of Pharmaceutical Sciences & Research Centre, Kharadi, Tal: Haveli"
240,6387,"Jayawantrao Sawant College of Pharmacy & Research, Hadapsar, Pune"
241,6388,"Shri Appasaheb Birnale College of Pharmacy, Sangli"
242,6389,"K.E. Socities. Rajarambapu College of Pharmacy,  Kasegaon, Sangli"
243,6390,"Meruling Shikshan Sansthas  College of Pharmacy, Jawalwadi"
244,6391,"Gaurishankar Educational and Charitable Trust's Gourishankar Institute of Pharmaceutical & Education Research, Limb, Satara"
245,6392,"Late Narayandas Bhawandas Chhabada Institute of Pharmacy, Satara"
246,6393,"Samarth Education Trust Arvind Gavali college of Pharmacy, Satara"
247,6394,"Shree Santkrupa College of Pharmacy, Ghogaon,Satara"
248,6395,"Gourishankar Education Society's Satara College of Pharmacy, Satara"
249,6396,"Swargeeya Sanjibhai Rupjibhai Memorial Trust  S.S.R. College of Pharmacy, Silvassa "
250,6397,"Shri. Vitthal Edu. & Research's College of Pharmacy, Gopalpur, Pandharpur"
251,6398,"Shikshan & Krishi Vikas Pratishtan's Sahyadri College of Pharmacy, Methavade, Ta.:Sangola, Dist.: Solapur"
252,6399,"Shikshan Prasarak Mandal's College of Pharmacy,  Akluj"
253,6400,"D.S.T.S.Mandal's College of Pharmacy, Solapur"
254,6401,"Shikshan Prasarak Mandal's College of Pharmacy, Akluj"
255,6402,"Shree Prince Shivaji Maratha Boarding House's New Polytechnic, Kolhapur"
256,6403,"Latthe Education Society's Polytechnic, Sangli"
257,6404,"Ekalavya Shikshan Sanstha's Polytechnic,pune"
258,6405,"Shivnagar Vidya Prasarak Mandal's Institute of Tech. & Engg., Malegaon(Bk.)"
259,6406,"Karmaveer Bhaurao Patil Polytechnic,Satara"
260,6407,"Satara Education Society's Satara Polytechnic, Satara"
261,6408,"Bharti Vidyaapeeth's Jawaharlal Nehru Institute of Technology, Pune"
262,6409,"Solapur Education Society's  Polytechnic, Solapur"
263,6410,"Dr. D. Y. Patil Pratishthan's, Yashwantrao Bhaurao Patil  Polytechnic, Pune"
264,6411,"Dr. J. J. Magdum Trust, Dr. J.J.Magdum Polytechnic, Jaysingpur, Kolhapur "
265,6412,"Shri Shivaji Shikshan Prasarak Mandal's Institute of Polytechnic, Barshi, Solapur  "
266,6413,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad Polytechnic,Pune"
267,6414,"Sinhgad Tech Education Society's Sou. Venutai Chavan Polytechnic, Pune"
268,6415,"All India Shri Shivaji Memorial Society's Polytechnic, Pune,"
269,6416,"Dr. D. Y. Patil Pratishthan's, Padmashree Dr. D.Y.Patil Polytechnic, Nigdi "
270,6417,"Poona District Education Association's, Institute of Technology,Hadpsar,Pune"
271,6418,"Jaihind Comprehensive Educational Institute's Jaihind Polytechnic, Kuran,Tal. Junnar"
272,6419,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
273,6420,"Shikshan Prasarak Mandal's Polytechnic,Solapur"
274,6421,"Dr. D. Y. Patil Prathisthan's Dr. D.Y. Patil Polytechnic, Kolhapur"
